2025-11-12 00:10:13 | ERROR | CLI | API key/secret missing. Set BINANCE_API_KEY and BINANCE_API_SECRET env vars.
2025-11-12 00:43:08 | INFO | BinanceREST | GET /fapi/v1/time params={}
2025-11-12 00:43:08 | INFO | BinanceREST | RESP 200 {"serverTime":1762888389584}
2025-11-12 00:43:08 | INFO | BinanceREST | Time sync offset_ms=789
2025-11-12 00:43:08 | INFO | BinanceREST | GET /fapi/v1/exchangeInfo params={'symbol': 'BTCUSDT'}
2025-11-12 00:43:09 | INFO | BinanceREST | RESP 200 {"timezone":"UTC","serverTime":1762853964020,"futuresType":"U_MARGINED","rateLimits":[{"rateLimitType":"REQUEST_WEIGHT","interval":"MINUTE","intervalNum":1,"limit":6000},{"rateLimitType":"ORDERS","interval":"MINUTE","intervalNum":1,"limit":1200},{"rateLimitType":"ORDERS","interval":"SECOND","intervalNum":10,"limit":300}],"exchangeFilters":[],"assets":[{"asset":"USDT","marginAvailable":true,"autoAssetExchange":"-100"},{"asset":"BTC","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"BNB","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"ETH","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"USDC","marginAvailable":true,"autoAssetExchange":"-0.10000000"},{"asset":"FDUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"BNFCR","marginAvailable":true,"autoAssetExchange":"-5000"},{"asset":"BFUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"PIPPIN","marginAvailable":true,"autoAssetExchange":"0"}],"symbols":[{"symbol"
2025-11-12 00:43:09 | INFO | MarketOrder | Placing MARKET BUY BTCUSDT qty=0.01
2025-11-12 00:43:09 | INFO | BinanceREST | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1762888389988, 'recvWindow': 5000} json=None
2025-11-12 00:43:09 | INFO | BinanceREST | RESP 200 {"orderId":9489616718,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"lvmIO6i1h4CDiD8knXvbsP","price":"0.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1762888390368}
2025-11-12 00:43:09 | INFO | CLI | SUCCESS market -> {'orderId': 9489616718, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'lvmIO6i1h4CDiD8knXvbsP', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1762888390368}
2025-11-12 01:40:52 | INFO | BinanceREST | GET /fapi/v1/time params={}
2025-11-12 01:40:53 | INFO | BinanceREST | RESP 200 {"serverTime":1762891854040}
2025-11-12 01:40:53 | INFO | BinanceREST | Time sync offset_ms=832
2025-11-12 01:40:53 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891854206, 'recvWindow': 5000}
2025-11-12 01:40:53 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102815.85800725","unRealizedProfit":"-3.24121992","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.15858007","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:40:54 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891855644, 'recvWindow': 5000}
2025-11-12 01:40:55 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102815.56171937","unRealizedProfit":"-3.24418280","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.15561719","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:40:56 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891857010, 'recvWindow': 5000}
2025-11-12 01:40:56 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102815.22280632","unRealizedProfit":"-3.24757193","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.15222806","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:40:57 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891858200, 'recvWindow': 5000}
2025-11-12 01:40:57 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102815.22280632","unRealizedProfit":"-3.24757193","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.15222806","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:40:58 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891859350, 'recvWindow': 5000}
2025-11-12 01:40:58 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102815.22498024","unRealizedProfit":"-3.24755019","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.15224980","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:40:59 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891860787, 'recvWindow': 5000}
2025-11-12 01:41:00 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102814.86193676","unRealizedProfit":"-3.25118063","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.14861936","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:01 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891861958, 'recvWindow': 5000}
2025-11-12 01:41:01 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102810.22541667","unRealizedProfit":"-3.29754583","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.10225416","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:02 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891863151, 'recvWindow': 5000}
2025-11-12 01:41:02 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102800.37911232","unRealizedProfit":"-3.39600887","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1028.00379112","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:03 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891864453, 'recvWindow': 5000}
2025-11-12 01:41:03 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102799.46259058","unRealizedProfit":"-3.40517409","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1027.99462590","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:04 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891865610, 'recvWindow': 5000}
2025-11-12 01:41:04 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102799.46259058","unRealizedProfit":"-3.40517409","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1027.99462590","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:05 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891866805, 'recvWindow': 5000}
2025-11-12 01:41:06 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102797.42519928","unRealizedProfit":"-3.42554800","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1027.97425199","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:07 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891868137, 'recvWindow': 5000}
2025-11-12 01:41:07 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"103139.98","breakEvenPrice":"103181.235992","markPrice":"102795.02820652","unRealizedProfit":"-3.44951793","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1027.95028206","isolatedWallet":"0","updateTime":1762888390368,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:08 | INFO | BinanceREST | GET /fapi/v1/exchangeInfo params={'symbol': 'BTCUSDT'}
2025-11-12 01:41:08 | INFO | BinanceREST | RESP 200 {"timezone":"UTC","serverTime":1762853964020,"futuresType":"U_MARGINED","rateLimits":[{"rateLimitType":"REQUEST_WEIGHT","interval":"MINUTE","intervalNum":1,"limit":6000},{"rateLimitType":"ORDERS","interval":"MINUTE","intervalNum":1,"limit":1200},{"rateLimitType":"ORDERS","interval":"SECOND","intervalNum":10,"limit":300}],"exchangeFilters":[],"assets":[{"asset":"USDT","marginAvailable":true,"autoAssetExchange":"-100"},{"asset":"BTC","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"BNB","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"ETH","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"USDC","marginAvailable":true,"autoAssetExchange":"-0.10000000"},{"asset":"FDUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"BNFCR","marginAvailable":true,"autoAssetExchange":"-5000"},{"asset":"BFUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"PIPPIN","marginAvailable":true,"autoAssetExchange":"0"}],"symbols":[{"symbol"
2025-11-12 01:41:08 | INFO | BinanceREST | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1762891869787, 'recvWindow': 5000} json=None
2025-11-12 01:41:09 | INFO | BinanceREST | RESP 200 {"orderId":9494713157,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"jbVFWcW1Ec3Z3JuS9NBq8k","price":"0.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1762891870143}
2025-11-12 01:41:09 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891870198, 'recvWindow': 5000}
2025-11-12 01:41:09 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102978.23","breakEvenPrice":"103019.421292","markPrice":"102785.02516304","unRealizedProfit":"-3.86409673","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2055.70050326","isolatedWallet":"0","updateTime":1762891870143,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:10 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891871620, 'recvWindow': 5000}
2025-11-12 01:41:11 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102978.23","breakEvenPrice":"103019.421292","markPrice":"102785.02516304","unRealizedProfit":"-3.86409673","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2055.70050326","isolatedWallet":"0","updateTime":1762891870143,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:12 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891873068, 'recvWindow': 5000}
2025-11-12 01:41:12 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102978.23","breakEvenPrice":"103019.421292","markPrice":"102771.87032609","unRealizedProfit":"-4.12719347","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2055.43740652","isolatedWallet":"0","updateTime":1762891870143,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:13 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891874443, 'recvWindow': 5000}
2025-11-12 01:41:14 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102978.23","breakEvenPrice":"103019.421292","markPrice":"102766.24576087","unRealizedProfit":"-4.23968478","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2055.32491521","isolatedWallet":"0","updateTime":1762891870143,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:14 | INFO | BinanceREST | GET /fapi/v1/exchangeInfo params={'symbol': 'BTCUSDT'}
2025-11-12 01:41:14 | INFO | BinanceREST | RESP 200 {"timezone":"UTC","serverTime":1762853964020,"futuresType":"U_MARGINED","rateLimits":[{"rateLimitType":"REQUEST_WEIGHT","interval":"MINUTE","intervalNum":1,"limit":6000},{"rateLimitType":"ORDERS","interval":"MINUTE","intervalNum":1,"limit":1200},{"rateLimitType":"ORDERS","interval":"SECOND","intervalNum":10,"limit":300}],"exchangeFilters":[],"assets":[{"asset":"USDT","marginAvailable":true,"autoAssetExchange":"-100"},{"asset":"BTC","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"BNB","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"ETH","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"USDC","marginAvailable":true,"autoAssetExchange":"-0.10000000"},{"asset":"FDUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"BNFCR","marginAvailable":true,"autoAssetExchange":"-5000"},{"asset":"BFUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"PIPPIN","marginAvailable":true,"autoAssetExchange":"0"}],"symbols":[{"symbol"
2025-11-12 01:41:14 | INFO | BinanceREST | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1762891875393, 'recvWindow': 5000} json=None
